meeting_id,wer,cer,insertions,deletions,substitutions,hits,ref_words,hyp_words,time_sec
ES2002b,0.4477,0.3539,554,198,156,1674,2028,2384,1035.29
ES2003d,0.2957,0.2118,11,342,66,1009,1417,1086,482.98
ES2006b,0.232,0.1582,3,314,44,1198,1556,1245,596.16
ES2012a,0.2377,0.1602,2,298,44,1105,1447,1151,474.52
ES2013d,0.1818,0.1446,102,77,41,1092,1210,1235,556.09
