meeting_id,wer,cer,insertions,deletions,substitutions,hits,ref_words,hyp_words,time_sec
ES2002b,0.5705,0.5127,3,1057,97,874,2028,974,399.73
ES2003d,0.3888,0.3043,6,472,73,872,1417,951,365.23
ES2006b,0.3194,0.2484,1,454,42,1060,1556,1103,448.01
ES2012a,0.3566,0.283,4,459,53,935,1447,992,418.87
ES2013d,0.1769,0.1381,6,167,41,1002,1210,1049,447.92
