meeting_id,wer,cer,insertions,deletions,substitutions,hits,ref_words,hyp_words,time_sec
ES2002b,0.4453,0.3502,549,198,156,1674,2028,2379,1588.2
ES2003d,0.2851,0.2023,7,339,58,1020,1417,1085,521.93
ES2006b,0.2281,0.1552,2,314,39,1203,1556,1244,526.6
ES2012a,0.2377,0.1602,2,298,44,1105,1447,1151,457.65
ES2013d,0.1818,0.1444,102,76,42,1092,1210,1236,544.68
