meeting_id,wer,cer,insertions,deletions,substitutions,hits,ref_words,hyp_words,time_sec
ES2002b,0.5301,0.4753,6,977,92,959,2028,1057,414.8
ES2003d,0.3776,0.2955,3,459,73,885,1417,961,392.57
ES2006b,0.3085,0.2383,3,439,38,1079,1556,1120,409.08
ES2012a,0.3269,0.2494,4,420,49,978,1447,1031,434.62
ES2013d,0.1769,0.1374,6,166,42,1002,1210,1050,448.52
